Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months
310M300US19740,19740,"Denver-Aurora-Lakewood, CO ",1091571,4568,688399,7332,525298,6820,403172,7126,71926,781,87273,1144,100986,964,47937,1620,97172,1309,114758,1863,129298,2193,63330,1600,30.1
310M300US19780,19780,"Des Moines-West Des Moines, IA ",245643,2966,157235,3527,120471,3874,88408,3517,65704,2050,82756,2467,96672,3170,38673,2600,85195,2566,101612,3448,116474,3894,52241,4424,35.9
310M300US19820,19820,"Detroit-Warren-Dearborn, MI ",1689859,8548,1066390,8964,744864,8504,623469,9755,56142,588,72732,1051,91571,1107,32660,906,78464,818,95230,1114,114584,1400,47366,1016,35.3
310M300US20020,20020,"Dothan, AL ",56133,1446,36780,1562,26276,1418,19353,1104,41040,2343,53628,3321,69063,3796,22133,1631,56872,2283,68058,2958,N,N,33329,2890,42.1
310M300US20100,20100,"Dover, DE ",64452,1537,43282,2361,26932,1835,21170,2092,54140,3724,62117,3178,72527,7628,34729,2410,66154,3537,74520,4991,N,N,44649,4925,37.6
310M300US20180,20180,"DuBois, PA ",29061,1313,19113,1354,N,N,9948,992,47352,4313,56369,4359,63750,4014,24155,2307,58404,4774,64766,3291,N,N,43796,12753,37.5
310M300US20220,20220,"Dubuque, IA ",37710,1062,25666,1329,N,N,12044,1147,60456,4069,79158,4065,87988,5626,30450,3467,82731,8634,100892,12545,N,N,41264,6070,35.9
310M300US20260,20260,"Duluth, MN-WI ",116967,1910,68095,1887,52508,1991,48872,2255,51294,1874,67624,2976,79248,2107,30690,1241,66342,2086,82920,3275,95227,3581,40609,1980,32.7
310M300US20380,20380,"Dunn, NC ",43960,1230,30968,1703,22823,1632,12992,1398,51637,2500,61160,2399,71534,3922,29857,3528,62276,3019,70931,3859,N,N,38345,4849,29.6
310M300US20500,20500,"Durham-Chapel Hill, NC ",217853,3128,132508,3288,96561,3300,85345,3177,56182,1594,77088,3346,94147,4227,36542,2091,82641,3129,102915,4564,122739,6126,48769,2731,30.4
310M300US20700,20700,"East Stroudsburg, PA ",57284,2360,37671,2728,N,N,19613,2270,60095,5816,74095,7122,83340,7689,38397,4723,76141,4879,90511,6385,N,N,46860,4401,41.6
310M300US20740,20740,"Eau Claire, WI ",66866,1164,40631,1763,32306,1759,26235,1521,51058,3864,68931,3076,78753,3618,30721,2632,66019,3508,80980,4595,N,N,39399,5494,25.2
310M300US20940,20940,"El Centro, CA ",44855,1612,34950,1841,24310,1834,9905,1536,49095,6911,57130,4551,63670,3753,20090,4063,63208,5087,71098,6701,N,N,31361,4243,45.8
310M300US21020,21020,"Elizabeth City, NC ",23009,1366,15592,1613,N,N,7417,1260,49781,5526,68805,11732,77012,6331,26533,8108,66235,5390,78110,6533,N,N,38107,9015,29.2
310M300US21060,21060,"Elizabethtown-Fort Knox, KY ",56261,2119,37988,2345,28612,2146,18273,1704,51936,3176,64234,3603,71585,3271,34974,7078,65316,3861,76509,5423,N,N,39820,3785,28
310M300US21140,21140,"Elkhart-Goshen, IN ",72487,1467,50774,2299,38199,2185,21713,2137,54216,3235,65003,2583,72387,3544,29710,3497,65321,4034,75524,5080,N,N,36549,3109,29.6
310M300US21300,21300,"Elmira, NY ",34418,1411,21203,1435,N,N,13215,1580,51269,2894,69651,3954,82609,9584,23150,2620,67332,4643,82566,6056,N,N,39057,5849,32.5
310M300US21340,21340,"El Paso, TX ",268172,3196,195644,4316,127576,3983,72528,3648,42116,1605,47221,1689,57999,2482,27502,2148,57013,1795,62687,2340,72424,2746,37463,1997,31.7
310M300US21420,21420,"Enid, OK ",24859,868,15677,1294,N,N,9182,1204,50288,4967,60024,9015,70809,5013,27249,8329,60299,4317,69048,5717,N,N,42437,8206,39.6
310M300US21500,21500,"Erie, PA ",109705,1868,67945,2897,48295,2653,41760,2369,48964,2297,62882,2335,74964,3899,28659,2285,63819,2470,78400,3890,91763,4822,37418,2250,36.1
310M300US21660,21660,"Eugene, OR ",147712,2024,88876,2885,65573,2837,58836,2825,47777,2087,61046,2639,68944,3656,27801,1917,63747,2315,75997,2454,84938,3367,42185,4253,28.9
310M300US21700,21700,"Eureka-Arcata-Fortuna, CA ",54230,1436,28646,1658,18837,1577,25584,2018,43130,2715,57721,4850,70321,5042,26720,2711,64617,11004,72428,5341,N,N,51956,22033,35.5
310M300US21780,21780,"Evansville, IN-KY ",128277,2136,81362,2804,58886,2484,46915,2563,50155,2002,63216,3974,78497,3352,29844,2209,67874,3353,82600,4921,98715,6107,39453,3010,29.1
310M300US21820,21820,"Fairbanks, AK ",33770,1901,21062,1942,N,N,12708,1766,77328,9603,86950,9208,98615,9828,54039,6856,87359,6350,96174,8715,N,N,66561,9645,33.4
310M300US22020,22020,"Fargo, ND-MN ",99968,1614,56508,2755,N,N,43460,2720,60009,3295,79142,4179,87224,3599,38170,4113,76519,3795,95548,5334,N,N,49409,4947,27.9
310M300US22060,22060,"Faribault-Northfield, MN ",22895,782,16254,1006,N,N,6641,942,69135,5709,82815,8112,89820,5088,36245,7823,82572,4964,96046,6402,N,N,44895,5580,31.9
310M300US22100,22100,"Farmington, MO ",24350,1203,15402,1475,N,N,8948,1198,45431,6245,59297,5866,66777,12091,20339,4505,54546,5002,69135,5875,N,N,27555,4694,27.6
310M300US22140,22140,"Farmington, NM ",43093,976,29374,1733,20591,1667,13719,1554,52003,3775,63793,7176,80126,3773,32291,4340,65449,3991,72819,5051,85929,6589,46519,5966,41.3
310M300US22180,22180,"Fayetteville, NC ",141972,2407,90761,3394,59434,2800,51211,2925,45293,1626,51492,1626,65874,3243,31905,1802,56823,2124,63160,2756,76697,3310,43107,4320,38.2
310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO ",196775,2360,132978,3412,104213,3380,63797,3205,51848,1238,64551,2956,75257,3838,31064,1350,73685,2470,86499,3339,98912,3871,44901,3004,28.6
310M300US22300,22300,"Findlay, OH ",31693,936,18248,1516,N,N,13445,1450,52810,6613,69666,7403,76589,4240,31998,4725,70192,4745,86951,8235,N,N,44683,4175,26.3
310M300US22380,22380,"Flagstaff, AZ ",47408,1957,27283,1737,19831,1705,20125,1838,55091,4663,71845,4832,80776,3187,32541,4761,67297,4171,82335,6042,N,N,45487,4533,38.7
310M300US22420,22420,"Flint, MI ",167171,2232,106436,2697,71514,2914,60735,2916,43955,1291,53894,1851,66691,4431,27289,2209,60115,2060,70039,2927,86268,3772,38449,3088,39
310M300US22500,22500,"Florence, SC ",76117,2104,50223,2411,32735,2388,25894,2481,42200,2843,55608,4740,74104,5723,24500,2413,58934,3006,70110,3584,N,N,34476,4509,33.5
310M300US22520,22520,"Florence-Muscle Shoals, AL ",59676,1716,37369,2474,28794,2118,22307,2076,45287,3768,62293,4422,67835,3132,23713,2851,57924,2794,71855,3519,N,N,33189,3247,45.7
310M300US22540,22540,"Fond du Lac, WI ",40815,1069,28477,1559,23358,1643,12338,1199,58310,3711,70860,4478,81309,4023,33810,4098,71268,3391,83480,4589,N,N,40222,3582,34.8
310M300US22580,22580,"Forest City, NC ",26982,1319,15966,1415,N,N,11016,1708,36121,6790,50693,5264,60568,4124,20623,2279,46400,4517,58820,6032,N,N,27401,4729,29.4
310M300US22660,22660,"Fort Collins, CO ",131407,1911,82903,2577,66615,2741,48504,2675,66469,2777,82073,2398,90420,4084,38078,2083,83934,3399,99577,4153,110539,4731,54379,6418,32.1
310M300US22840,22840,"Fort Payne, AL ",25383,1190,18834,1335,N,N,6549,1089,35963,3259,40496,3287,49409,3565,16198,5370,48529,4224,54066,4666,N,N,30008,7224,38.2
310M300US22900,22900,"Fort Smith, AR-OK ",107196,2184,72741,2438,53850,2517,34455,2380,40970,1615,49354,2122,57475,4324,22481,2847,53644,2458,61925,2770,70097,3693,34262,4855,41
310M300US23060,23060,"Fort Wayne, IN ",167408,2125,107704,3731,80556,3618,59704,3276,51519,1203,64774,2276,74536,2829,31593,1514,66824,2291,80275,3057,93502,3686,39681,2065,35.1
310M300US23180,23180,"Frankfort, KY ",29694,1224,18129,1503,N,N,11565,1578,54000,4645,65368,5340,77529,11121,38344,6618,66104,4536,78565,5447,N,N,42796,6380,32.3
310M300US23420,23420,"Fresno, CA ",303216,2788,219660,3642,141938,4319,83556,3453,48715,2081,53951,2887,73449,3394,30545,1434,68967,1851,75526,2319,93047,2879,45633,3030,39.8
310M300US23460,23460,"Gadsden, AL ",38766,1489,26348,1553,18317,1466,12418,1392,41152,2983,53675,5121,65481,2977,25326,4668,55243,3843,65211,5370,N,N,32243,4037,39.7
310M300US23540,23540,"Gainesville, FL ",100985,3716,49687,2974,34747,2345,51298,3343,45279,2938,66868,6697,85589,5445,26520,2129,62520,3929,84500,4893,N,N,40137,5689,38.1
310M300US23580,23580,"Gainesville, GA ",62038,1709,45843,2242,34827,2070,16195,1534,54917,3829,62802,3802,74343,5495,29194,4158,70477,4325,79844,5713,N,N,39774,4070,37.9
310M300US23700,23700,"Gallup, NM ",20061,676,13876,1151,6754,946,6185,1090,31526,4099,34902,5341,58155,5339,16741,4922,43857,3537,46859,4418,60377,6142,32704,7721,53.5
310M300US23900,23900,"Gettysburg, PA ",38125,1120,26243,1453,N,N,11882,1140,59300,4465,74680,4746,81817,6461,31033,3378,72296,3576,83756,4630,N,N,42653,4065,30.2
310M300US24020,24020,"Glens Falls, NY ",51614,1736,32655,1856,24019,1622,18959,1762,54414,2580,65608,4696,80394,6411,32286,3938,72139,5538,85675,7793,N,N,44598,4277,33.2
310M300US24060,24060,"Glenwood Springs, CO ",27781,1284,19481,1523,N,N,8300,1278,70234,4170,84482,7340,97094,9830,43516,12536,92681,10261,107509,16008,N,N,50135,7773,42.9
310M300US24140,24140,"Goldsboro, NC ",47240,1353,31900,2139,21679,1994,15340,1794,41711,3830,55021,5320,70355,2832,21672,2379,58296,4082,66626,4960,N,N,36532,7294,25.3
310M300US24220,24220,"Grand Forks, ND-MN ",41827,1159,23454,1407,N,N,18373,1379,48671,4343,73843,4438,83723,2666,27960,3365,63671,3879,83505,6327,N,N,36812,6466,27
310M300US24260,24260,"Grand Island, NE ",32945,908,22136,1266,N,N,10809,1185,55435,3407,66320,5171,82568,5749,30839,1998,70445,5388,84103,7971,N,N,38999,3745,45.7
310M300US24300,24300,"Grand Junction, CO ",60188,1483,37593,2148,28525,1989,22595,2129,48846,4429,65617,4800,72456,3188,24908,4037,60280,3745,72859,5014,N,N,38274,4690,29.1
310M300US24340,24340,"Grand Rapids-Wyoming, MI ",384790,3144,264741,5127,207304,5294,120049,4889,60212,1002,72077,1452,84062,1956,32678,1594,77597,1690,90595,2309,103120,2667,45370,2117,32.3
310M300US24420,24420,"Grants Pass, OR ",35439,1093,23074,1522,N,N,12365,1410,36472,4670,45866,6323,57546,9906,19720,6555,50614,3804,59943,5632,N,N,29717,4405,37.1
310M300US24500,24500,"Great Falls, MT ",33759,967,20728,1191,N,N,13031,1125,45138,3057,59553,6337,65742,4671,27821,3555,62658,5925,76975,9016,N,N,37779,6115,29.7
310M300US24540,24540,"Greeley, CO ",102087,1317,75573,2400,61596,2687,26514,2364,63400,2926,74468,3047,82375,4522,31031,4008,81031,3378,89667,3845,97458,4434,52115,7085,37.9
310M300US24580,24580,"Green Bay, WI ",128474,1672,80875,2230,64015,2045,47599,2357,58011,2215,76493,2892,85704,2438,37717,3009,73974,2796,88173,3700,98143,4288,46802,5107,29.9
310M300US24620,24620,"Greeneville, TN ",25418,1671,16155,1849,N,N,9263,1467,41109,2427,52527,6885,63449,8151,22989,7907,60485,8852,66648,8003,N,N,47983,20418,43
310M300US24640,24640,"Greenfield Town, MA ",30868,736,18313,1051,N,N,12555,1195,57106,3645,79978,3377,88989,5866,29774,2767,77060,6419,93769,5299,N,N,49194,14594,32
310M300US24660,24660,"Greensboro-High Point, NC ",296476,3407,190197,3998,131051,4510,106279,4069,46135,1423,56380,2123,72441,3489,29766,1724,64245,2389,75209,3230,91010,4005,42776,3147,34.8
310M300US24780,24780,"Greenville, NC ",70019,1853,40746,2190,N,N,29273,2258,46573,3483,63308,7158,82491,4466,26516,2884,62944,3640,81396,5528,N,N,36437,4125,47.9
310M300US24860,24860,"Greenville-Anderson-Mauldin, SC ",335497,4055,222222,5584,160191,5328,113275,4246,50644,935,63816,2768,77176,2580,27888,1745,69567,1794,82396,2880,97765,3689,41359,2367,33.2
310M300US24940,24940,"Greenwood, SC ",36461,1347,24388,2008,N,N,12073,1714,38519,3664,49360,4845,66155,6813,21982,2258,52515,4189,60425,4829,N,N,35786,7112,41.8
310M300US25020,25020,"Guayama, PR ",26740,1731,18120,1773,N,N,N,N,16595,1955,22614,4642,26823,5774,8793,1074,25189,5041,31124,7065,N,N,N,N,36.7
310M300US25060,25060,"Gulfport-Biloxi-Pascagoula, MS ",146020,3039,93879,3948,64626,3659,52141,3530,46434,2347,57333,2592,69717,3874,26392,2722,59951,2479,71039,3013,84377,3685,37476,3170,33.4
310M300US25180,25180,"Hagerstown-Martinsburg, MD-WV ",98193,2329,64769,3195,45848,2752,33424,2905,55862,2970,71118,3603,84103,2899,35557,2966,73682,3887,84586,4962,N,N,48057,6586,30.6
310M300US25220,25220,"Hammond, LA ",47756,1780,33369,2275,N,N,14387,1934,48162,5918,62373,2751,77005,6035,20744,2532,63700,4301,73087,6142,N,N,33746,5104,28.9
310M300US25260,25260,"Hanford-Corcoran, CA ",43090,1044,33611,1852,23513,2124,9479,1598,53234,4518,54641,5961,64537,7921,35824,13889,67901,4360,71195,5384,N,N,47832,9404,44
310M300US25420,25420,"Harrisburg-Carlisle, PA ",225120,2890,143270,3871,109407,3687,81850,3404,61467,1332,76289,2564,87116,2744,38597,2440,79424,2245,93776,3139,105742,4083,51281,2815,36.1
310M300US25500,25500,"Harrisonburg, VA ",47805,1336,30642,1722,21887,1838,17163,1565,51369,4659,66515,5653,80019,5837,30972,2589,68921,4848,82942,7564,N,N,38588,5085,38
310M300US25540,25540,"Hartford-West Hartford-East Hartford, CT ",470439,3627,298516,5502,219374,5425,171923,5135,72559,1661,92563,2160,110412,3129,41262,1295,96040,1922,116681,2842,136303,3680,56100,2392,33.4
310M300US25620,25620,"Hattiesburg, MS ",53560,1793,36287,2185,N,N,17273,1899,46765,4749,59125,6183,78085,7811,26415,5493,69507,7083,81517,9400,N,N,42012,12440,34.1
310M300US25740,25740,"Helena, MT ",31474,1227,19615,1436,N,N,11859,1186,62437,6589,79918,5680,86431,3827,37216,6803,80593,12945,98433,19730,N,N,48842,7717,32.1
310M300US25840,25840,"Hermiston-Pendleton, OR ",29799,1184,20901,1304,N,N,8898,1167,50037,4255,60363,7365,68252,6038,26281,4692,61842,4709,70239,6114,N,N,38680,5771,48.9
310M300US25860,25860,"Hickory-Lenoir-Morganton, NC ",144399,2671,100708,3511,74283,3531,43691,2897,42572,1950,51881,1797,63266,2871,23213,2571,58044,2741,68652,3370,N,N,30993,1970,33
310M300US25900,25900,"Hilo, HI ",69818,1668,47584,2592,33869,2338,22234,2257,55750,3382,65993,4646,76570,6151,31765,3463,74492,4512,82532,4924,N,N,52019,9261,36.7
310M300US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC ",76772,2771,51869,2750,40754,2760,24903,2193,63756,3158,73382,5556,85909,7274,34648,8743,85980,5733,97101,7111,N,N,59238,9643,40.4
310M300US25980,25980,"Hinesville, GA ",29918,1498,20700,1585,N,N,9218,1361,46241,5341,49349,3549,54166,4679,40238,6494,55082,3577,59842,4983,N,N,41486,4859,40.1
310M300US26020,26020,"Hobbs, NM ",20793,1247,15310,1263,N,N,5483,1214,55636,6114,62021,7398,68786,4705,36585,12247,67445,6680,74757,8452,N,N,44438,9465,41
310M300US26090,26090,"Holland, MI ",41995,1226,30810,1450,25035,1646,11185,1410,57846,4103,68262,3392,74186,3900,33410,4120,69842,3050,79665,3633,N,N,38730,3389,41.5
310M300US26140,26140,"Homosassa Springs, FL ",63581,2500,36860,2511,N,N,26721,2709,39206,4485,49613,3676,56026,3569,26549,2217,51521,3641,61814,4757,N,N,35392,5602,35.4
310M300US26300,26300,"Hot Springs, AR ",39309,2140,22555,2022,N,N,16754,2166,42826,5424,56445,2262,64503,6251,24438,3349,56172,3909,70107,6098,N,N,36138,4753,31.6
310M300US26380,26380,"Houma-Thibodaux, LA ",77301,2022,52441,2383,38046,2703,24860,2378,49929,3965,57220,4280,71112,4065,28661,3976,64588,3819,73148,5312,N,N,42288,5074,39.9
310M300US26420,26420,"Houston-The Woodlands-Sugar Land, TX ",2333038,10068,1646830,15359,1175959,14995,686208,12831,61708,615,72548,980,91446,1005,40685,704,89957,909,101536,1324,121653,1898,58106,1535,35.7
310M300US26580,26580,"Huntington-Ashland, WV-KY-OH ",141737,2780,91456,3421,65666,3044,50281,3320,42420,1793,53852,2777,66827,3055,23499,1687,56702,2355,69018,3232,82000,4279,31891,2744,34.5
310M300US26620,26620,"Huntsville, AL ",175549,3344,111108,3818,81510,3647,64441,3771,58238,3098,79852,3922,96064,3495,35319,3521,82195,2846,99828,4421,N,N,50376,3159,29.4
310M300US26660,26660,"Huntsville, TX ",26350,2276,16269,1953,N,N,10081,1693,42199,2772,59792,8386,68421,8198,24203,6869,54821,4432,70397,6567,N,N,29160,4414,45.3
310M300US26740,26740,"Hutchinson, KS ",24934,893,15823,1291,N,N,9111,1039,45249,3893,55410,5867,67417,4667,25400,4087,59384,5102,71361,6482,N,N,34349,7743,36.1
310M300US26820,26820,"Idaho Falls, ID ",48326,1138,35101,1549,28758,1667,13225,1328,60133,2149,68031,3230,74744,5032,31424,5641,76133,5182,86016,6452,N,N,46023,6733,29.5
310M300US26860,26860,"Indiana, PA ",34786,955,21239,1160,16929,1141,13547,1282,42962,2499,60995,5166,67971,3923,22724,2587,59117,2913,72397,4526,N,N,36788,4871,38.1
310M300US26900,26900,"Indianapolis-Carmel-Anderson, IN ",765240,5281,482012,8276,353400,7536,283228,7390,56750,921,73164,1683,88218,1916,34968,1504,78628,1655,94349,2379,110485,3120,49304,2872,33.4
310M300US26980,26980,"Iowa City, IA ",65343,1879,37935,1877,N,N,27408,2339,57777,2679,85302,4675,95078,3583,30131,3989,75411,3305,97877,5053,N,N,42437,4629,28.8
310M300US27060,27060,"Ithaca, NY ",37683,1516,20315,1586,N,N,17368,1711,56349,3335,78948,4707,91513,8780,31051,5162,73644,4239,96948,7322,N,N,42235,5315,27
310M300US27100,27100,"Jackson, MI ",59993,1688,39580,1808,27984,1665,20413,1674,50009,3641,60779,2577,75009,4836,31154,3499,65570,4290,75865,4626,N,N,42550,8216,33.7
310M300US27140,27140,"Jackson, MS ",213266,3307,145099,4547,95482,4330,68167,3764,50632,1677,62060,2339,80941,2357,30757,2223,70483,2894,81614,3517,99373,3673,43725,3151,36.4
310M300US27180,27180,"Jackson, TN ",48047,1681,33007,2197,22394,1777,15040,1722,42373,2393,50214,3820,59261,6845,25884,4544,57708,3779,67951,5326,N,N,33640,5291,48.1
310M300US27260,27260,"Jacksonville, FL ",551172,6310,362005,6630,261670,6174,189167,5676,56840,1103,68962,2345,83195,2716,37187,1212,77169,1730,89862,2435,105501,3102,50469,2180,41.6
310M300US27340,27340,"Jacksonville, NC ",61766,2212,42793,2500,N,N,18973,2453,47150,3555,54228,4970,61735,3148,30369,3911,56900,2589,63054,3411,N,N,39725,3432,32.4
310M300US27460,27460,"Jamestown-Dunkirk-Fredonia, NY ",51705,1835,31199,1743,24220,1593,20506,1506,42204,2801,56959,3319,65584,5616,24519,1851,55539,2728,66524,3196,N,N,37461,3941,32.9
310M300US27500,27500,"Janesville-Beloit, WI ",63222,1247,40173,1648,28946,1543,23049,1892,50729,2265,61734,4898,77399,3737,30931,1690,65404,2936,75267,3815,N,N,42538,4144,29.5
310M300US27620,27620,"Jefferson City, MO ",55366,1722,37372,1971,30101,1934,17994,1911,55031,3135,68671,4794,78989,4049,32084,4793,66765,3003,77420,3447,N,N,42281,6332,38.6
310M300US27740,27740,"Johnson City, TN ",83349,2077,53103,2464,37832,2403,30246,2403,40943,2784,50673,4292,63713,4109,25277,2612,56495,3471,66483,5114,80215,6595,36824,4001,34.4
310M300US27780,27780,"Johnstown, PA ",56443,1390,35951,1621,27102,1367,20492,1383,44100,3096,60023,3282,71415,5097,25038,2494,57562,2339,70733,3320,N,N,32416,2097,29.4
310M300US27860,27860,"Jonesboro, AR ",49513,1437,31493,2042,20746,1841,18020,1815,41717,2585,49994,3351,68225,5156,23263,3699,60371,7846,73037,11012,N,N,34420,5532,30
310M300US27900,27900,"Joplin, MO ",67380,1615,44831,2241,34134,2309,22549,2206,45876,2370,54737,4378,66661,5846,29291,3152,62827,4697,74404,6667,N,N,35252,3351,38
310M300US27980,27980,"Kahului-Wailuku-Lahaina, HI ",53667,1944,36417,1881,26662,2066,17250,1806,72268,4713,78846,4976,92149,6747,42450,5108,98544,7178,106477,8070,N,N,65836,9830,34.3
310M300US28020,28020,"Kalamazoo-Portage, MI ",131673,2267,79880,2688,60823,2831,51793,2596,52045,1654,69494,2959,80211,3092,33595,2422,72345,2445,89530,4277,N,N,43274,2829,31.1
310M300US28060,28060,"Kalispell, MT ",39279,1534,25647,1743,N,N,13632,1579,50142,3478,65469,4450,69422,6082,30946,4080,70136,6963,84550,8311,N,N,41759,10765,24.2
310M300US28100,28100,"Kankakee, IL ",39314,1235,26614,1503,N,N,12700,1252,54911,4196,65122,4426,76862,3460,36396,3500,68588,3947,78934,5226,N,N,44219,3997,39.7
310M300US28140,28140,"Kansas City, MO-KS ",816569,4977,531420,6650,394429,6422,285149,7090,61385,779,77533,1276,92066,1081,36867,796,82261,1421,98184,1847,113313,2276,49452,1762,31.2
310M300US28180,28180,"Kapaa, HI ",23214,1021,15577,1264,N,N,7637,1143,71344,10599,84633,3684,92054,10695,39354,7146,85866,6196,97688,7800,N,N,55667,9992,46
310M300US28300,28300,"Keene, NH ",29428,1274,18085,1324,N,N,11343,1269,56364,6952,72706,6016,80773,6797,31162,2473,73110,6368,87942,6694,N,N,46444,11849,28.1
310M300US28420,28420,"Kennewick-Richland, WA ",96337,1460,66296,2663,51878,2574,30041,2466,61021,2402,73429,4603,87434,5946,34806,4581,77885,2735,89838,3696,N,N,48215,5245,30
310M300US28580,28580,"Key West, FL ",30318,1827,17657,1834,N,N,12661,1422,65717,3620,78067,7656,90587,9864,40981,4815,87296,5709,100532,8402,N,N,65836,8274,49.1
310M300US28660,28660,"Killeen-Temple, TX ",150422,3080,107309,3407,77797,3853,43113,3162,52202,1885,60476,2000,72528,2750,34301,5153,67835,2770,75898,3351,88028,4648,44839,3773,28.7
310M300US28700,28700,"Kingsport-Bristol-Bristol, TN-VA ",123757,2715,80047,2827,60782,3060,43710,2165,40811,1959,51886,2438,60083,2889,24267,2308,56683,2573,68583,3392,75699,3381,33655,2671,32.5
310M300US28740,28740,"Kingston, NY ",68298,2281,41957,2454,29890,1749,26341,2227,62790,3777,78407,6476,95033,6048,31734,3547,82176,3966,100833,5584,117805,7114,48383,5050,37.9
310M300US28900,28900,"Klamath Falls, OR ",26359,1213,17398,1363,N,N,8961,1121,45604,2907,48313,3718,59347,9502,28285,9327,58173,3815,65623,5122,N,N,40879,5441,32.3
310M300US28940,28940,"Knoxville, TN ",344803,4493,221543,5331,170286,5101,123260,4225,49862,1319,62898,2466,74432,2340,28639,1610,68038,1635,82002,2308,93142,2665,40558,2497,29.6
310M300US29020,29020,"Kokomo, IN ",34195,1167,22232,1437,N,N,11963,1384,45702,5865,61385,6069,79026,5273,27964,3599,62995,4426,75884,6472,N,N,36923,5015,39.6
310M300US29100,29100,"La Crosse-Onalaska, WI-MN ",55390,1080,33563,1502,26770,1524,21827,1513,55717,4260,73956,3453,84377,3584,34841,3928,71187,3534,88620,5263,N,N,42359,3482,28.8
310M300US29180,29180,"Lafayette, LA ",177425,3076,116882,3424,77299,4024,60543,3499,45409,2920,56101,3724,77249,3687,30459,1398,65335,2921,75477,3849,95562,4472,40764,3441,33.3
310M300US29200,29200,"Lafayette-West Lafayette, IN ",80560,1877,48745,2077,37076,1936,31815,2596,51410,1534,65538,4634,81400,6903,29908,3457,68864,3569,85278,6012,N,N,40292,3910,29.2
310M300US29300,29300,"LaGrange, GA ",24493,1292,16980,1467,N,N,7513,1361,42371,8429,51564,3681,65310,3656,24993,11148,56650,4431,65821,5803,N,N,34576,5690,47.8
310M300US29340,29340,"Lake Charles, LA ",79226,2358,51439,2622,34483,2710,27787,2588,46005,2664,53859,4560,75246,8489,25875,3443,61882,3342,73220,4972,N,N,37254,4010,48.1
310M300US29380,29380,"Lake City, FL ",24215,1165,15027,1370,N,N,9188,1152,42019,5563,55375,7839,61453,4046,27382,6924,63101,9077,72633,10398,N,N,43730,15348,50.1
310M300US29420,29420,"Lake Havasu City-Kingman, AZ ",84876,2775,52190,3283,39404,3156,32686,2515,42423,2342,52863,3219,57697,2553,25855,2733,57530,3945,67573,5803,N,N,39416,4637,38.2
310M300US29460,29460,"Lakeland-Winter Haven, FL ",226429,3850,152878,4579,112157,4360,73551,4083,46355,1347,54718,2352,64546,1830,30485,1812,61587,2062,69902,2835,80140,3400,40821,2712,44.2
310M300US29540,29540,"Lancaster, PA ",196807,2063,136226,2974,109776,3261,60581,2949,61335,1450,71683,1908,79602,2583,36061,1996,79344,2506,91505,3793,100599,4369,48717,3365,36.6
310M300US29620,29620,"Lansing-East Lansing, MI ",185389,2102,108539,3095,81605,2912,76850,3420,53296,1334,69891,2143,82428,2676,34131,2026,69858,1702,86330,2562,99054,2848,44129,2842,30.8
