ID,City,Job Wage (Avg),Number of Jobs,Population,Household Income (Avg)
10500,"Albany, GA",66783.33333,320,152440,57901
11180,"Ames, IA",69296.66667,600,96816,70682
31080,"Anaheim-Santa Ana-Irvine, CA ",91886.25,35420,13328261,95358
11260,"Anchorage, AK",84437.14286,1840,401499,102233
11500,"Anniston-Oxford-Jacksonville, AL",59123.33333,140,114980,58992
12020,"Athens-Clarke County, GA",58252,510,205421,65420
12060,"Atlanta-Sandy Springs-Roswell, GA",78686.66667,60090,5795723,86546
12220,"Auburn-Opelika, AL",61960,70,158983,64562
12260,"Augusta-Richmond County, GA-SC",74331.25,1640,594889,64651
12540,"Bakersfield, CA",82796.25,2630,885086,67594
13820,"Birmingham-Hoover, AL",79627.77778,5820,1146888,74082
14010,"Bloomington, IL",77565,3090,188847,81223
14260,"Boise City, ID",70000,3950,690810,73245
14500,"Boulder, CO",83103.75,3750,321173,105099
14860,"Bridgeport-Stamford-Norwalk, CT",84940,11380,949191,143628
15260,"Brunswick, GA",70600,310,116955,64202
15980,"Cape Coral-Fort Myers, FL",70350,1590,722506,74125
16060,"Carbondale-Marion, IL",61655,100,126672,55799
16300,"Cedar Rapids, IA",76723.33333,2120,267925,80497
16580,"Champaign-Urbana, IL",77963.33333,790,239135,70226
16980,"Chicago-Naperville-Arlington Heights, IL ",74157.77778,82500,9546326,91509
17020,"Chico, CA",65844,690,226525,65703
17660,"Coeur d'Alene, ID",64553.33333,320,153144,66843
17820,"Colorado Springs, CO",86667.5,4690,710746,80759
17980,"Columbus, GA-AL",66273.33333,770,306712,61926
18880,"Crestview-Fort Walton Beach-Destin, FL",77318.57143,2140,265355,77360
19140,"Dalton, GA",80120,540,144074,57870
19180,"Danville, IL",79390,90,78560,56819
19300,"Daphne-Fairhope-Foley, AL",62445,250,207509,74892
19340,"Davenport-Moline-Rock Island, IA-IL",72134.28571,910,382671,69246
19460,"Decatur, AL",76485,100,152051,58555
19500,"Decatur, IL",52980,0,106651,62668
19660,"Deltona-Daytona Beach-Ormond Beach, FL",63724.28571,1430,636843,61275
19740,"Denver-Aurora-Lakewood, CO",88827.5,28440,2851848,97172
19780,"Des Moines-West Des Moines, IA",76255,9020,634740,85195
20020,"Dothan, AL",64540,100,147781,56872
20100,"Dover, DE",71961.66667,620,174754,66154
20220,"Dubuque, IA",68457.5,580,96704,82731
20940,"El Centro, CA",66406.66667,350,180980,63208
21820,"Fairbanks, AK",70800,200,100602,87359
22220,"Fayetteville-Springdale-Rogers, AR-MO",73931.42857,3350,525176,73685
22380,"Flagstaff, AZ",66902.5,560,140079,67297
22520,"Florence-Muscle Shoals, AL",58400,70,146646,57924
22660,"Fort Collins, CO",80602.85714,1800,338531,83934
22900,"Fort Smith, AR-OK",56897.5,410,281032,53644
23420,"Fresno, CA",72871.25,2920,979534,68967
23460,"Gadsden, AL",59840,40,102726,55243
23540,"Gainesville, FL",70638.33333,1370,281551,62520
23580,"Gainesville, GA",82042.5,490,196237,70477
24300,"Grand Junction, CO",73413.33333,300,149794,60280
24540,"Greeley, CO",85780,490,294243,81031
25260,"Hanford-Corcoran, CA",69926.66667,230,149797,67901
25540,"Hartford-West Hartford-East Hartford, CT",89456.25,13890,1210075,96040
25980,"Hinesville, GA",69980,170,79984,55082
26140,"Homosassa Springs, FL",0,70,142990,51521
26620,"Huntsville, AL",89672.85714,5230,449232,82195
26820,"Idaho Falls, ID",82608,570,142405,76133
26980,"Iowa City, IA",70955,840,168742,75411
27260,"Jacksonville, FL",72095,11230,1476503,77169
27860,"Jonesboro, AR",52293.33333,170,129789,60371
27980,"Kahului-Wailuku-Lahaina, HI",66596.66667,200,165472,98544
29420,"Lake Havasu City-Kingman, AZ",74650,110,205385,57530
29460,"Lakeland-Winter Haven, FL",68832.85714,2010,667018,61587
30300,"Lewiston, ID-WA",65340,30,62406,58362
30780,"Little Rock-North Little Rock-Conway, AR",66801.25,6090,733461,70787
31420,"Macon, GA",63651.66667,1070,229163,58904
31460,"Madera, CA",65283.33333,170,154966,67604
32900,"Merced, CA",76623.33333,380,268878,70672
33660,"Mobile, AL",55966,570,414852,61800
33700,"Modesto, CA",78387.14286,930,541353,73567
33860,"Montgomery, AL",54715,1320,373475,66848
34900,"Napa, CA",90797.5,620,141649,106368
34940,"Naples-Immokalee-Marco Island, FL",82048.57143,1090,366095,102009
35300,"New Haven, CT",83762.5,3330,859973,87686
35840,"North Port-Sarasota-Bradenton, FL",64575.71429,2130,788442,77565
35980,"Norwich-New London-Westerly, CT-RI",83632.5,1150,269307,94956
36100,"Ocala, FL",77635,480,348139,54181
36740,"Orlando-Kissimmee-Sanford, FL",74745.55556,12680,2453333,71881
37100,"Oxnard-Thousand Oaks-Ventura, CA",87096.25,5140,851096,105609
37340,"Palm Bay-Melbourne-Titusville, FL",79081.42857,3100,577899,70367
37460,"Panama City, FL",68238,640,199092,64099
37860,"Pensacola-Ferry Pass-Brent, FL",64921.42857,1660,481774,67315
38060,"Phoenix-Mesa-Scottsdale, AZ",66930,38260,4648498,80235
38220,"Pine Bluff, AR",56110,190,92412,51185
38540,"Pocatello, ID",63985,200,84379,64287
38940,"Port St. Lucie, FL",69233.33333,810,464563,68880
39140,"Prescott, AZ",67040,280,224363,65804
39380,"Pueblo, CO",67166.66667,240,164834,59601
39460,"Punta Gorda, FL",96715,140,178157,65643
39820,"Redding, CA",68473.33333,400,178774,64293
40140,"Riverside-San Bernardino-Ontario, CA",78787.5,10950,4523653,76407
40660,"Rome, GA",65240,170,96620,66817
40900,"Sacramento--Roseville--Arden-Arcade, CA",79155,33750,2295233,88802
41500,"Salinas, CA",86361.42857,1360,436363,88289
41740,"San Diego-Carlsbad, CA",89126.25,27580,3317200,96692
41940,"San Jose-Sunnyvale-Santa Clara, CA",109998.75,32540,1990910,145317
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",81382,1390,282282,88338
42100,"Santa Cruz-Watsonville, CA",84335,1120,275196,106035
42200,"Santa Maria-Santa Barbara, CA",87056.25,1710,446296,93389
42220,"Santa Rosa, CA",82890,2130,503833,97005
42340,"Savannah, GA",65875.71429,1010,383785,78870
42680,"Sebastian-Vero Beach, FL",72425,200,151382,79585
42700,"Sebring, FL",53140,40,101558,48800
43420,"Sierra Vista-Douglas, AZ",72396.66667,1050,125355,55174
43580,"Sioux City, IA-NE-SD",75560,450,169049,71687
44700,"Stockton-Lodi, CA",73988.57143,1320,734294,77528
45220,"Tallahassee, FL",60561.42857,7000,379047,68357
45300,"Tampa-St. Petersburg-Clearwater, FL",68195.55556,20900,3036525,71830
45540,"The Villages, FL",76140,140,122121,68118
46060,"Tucson, AZ",74457.14286,4320,1012519,65881
46220,"Tuscaloosa, AL",70922.5,460,241444,63581
46520,"Urban Honolulu, HI",73076.25,4930,992761,101034
46660,"Valdosta, GA",65120,100,144434,57866
46700,"Vallejo-Fairfield, CA",87346,1360,440318,93929
47300,"Visalia-Porterville, CA",72252.5,490,460835,61897
47580,"Warner Robins, GA",77821.66667,890,190068,69914
47940,"Waterloo-Cedar Falls, IA",68114,690,169894,72333
37980,"Wilmington, DE-MD-NJ ",86850,13040,6077152,91816
49700,"Yuba City, CA",48702.5,330,171243,68476
49740,"Yuma, AZ",71054,280,205463,56872
